DATE,WEEKDAY,DAY,EVENT,YEAR,MONTH
2012-10-21,Sunday,d 632,,2012,10
2012-10-22,Monday,d 633,,2012,10
2012-10-23,Tuesday,d 634,,2012,10
2012-10-24,Wednesday,d 635,,2012,10
2012-10-25,Thursday,d 636,,2012,10
2012-10-26,Friday,d 637,,2012,10
2012-10-27,Saturday,d 638,,2012,10
2012-10-28,Sunday,d 639,,2012,10
2012-10-29,Monday,d 640,,2012,10
2012-10-30,Tuesday,d 641,,2012,10
2012-10-31,Wednesday,d 642,,2012,10
2012-11-01,Thursday,d 643,,2012,11
2012-11-02,Friday,d 644,,2012,11
2012-11-03,Saturday,d 645,,2012,11
2012-11-04,Sunday,d 646,,2012,11
2012-11-05,Monday,d 647,,2012,11
2012-11-06,Tuesday,d 648,,2012,11
2012-11-07,Wednesday,d 649,,2012,11
2012-11-08,Thursday,d 650,,2012,11
2012-11-09,Friday,d 651,,2012,11
2012-11-10,Saturday,d 652,,2012,11
2012-11-11,Sunday,d 653,,2012,11
2012-11-12,Monday,d 654,,2012,11
2012-11-13,Tuesday,d 655,,2012,11
2012-11-14,Wednesday,d 656,,2012,11
2012-11-15,Thursday,d 657,,2012,11
2012-11-16,Friday,d 658,,2012,11
2012-11-17,Saturday,d 659,,2012,11
2012-11-18,Sunday,d 660,,2012,11
2012-11-19,Monday,d 661,,2012,11
2012-11-20,Tuesday,d 662,,2012,11
2012-11-21,Wednesday,d 663,,2012,11
2012-11-22,Thursday,d 664,Thanksgiving,2012,11
2012-11-23,Friday,d 665,,2012,11
2012-11-24,Saturday,d 666,,2012,11
2012-11-25,Sunday,d 667,,2012,11
2012-11-26,Monday,d 668,,2012,11
2012-11-27,Tuesday,d 669,,2012,11
2012-11-28,Wednesday,d 670,,2012,11
2012-11-29,Thursday,d 671,,2012,11
2012-11-30,Friday,d 672,,2012,11
2012-12-01,Saturday,d 673,,2012,12
2012-12-02,Sunday,d 674,,2012,12
2012-12-03,Monday,d 675,,2012,12
2012-12-04,Tuesday,d 676,,2012,12
2012-12-05,Wednesday,d 677,,2012,12
2012-12-06,Thursday,d 678,,2012,12
2012-12-07,Friday,d 679,,2012,12
2012-12-08,Saturday,d 680,,2012,12
2012-12-09,Sunday,d 681,,2012,12
2012-12-10,Monday,d 682,,2012,12
2012-12-11,Tuesday,d 683,,2012,12
2012-12-12,Wednesday,d 684,,2012,12
2012-12-13,Thursday,d 685,,2012,12
2012-12-14,Friday,d 686,,2012,12
2012-12-15,Saturday,d 687,,2012,12
2012-12-16,Sunday,d 688,,2012,12
2012-12-17,Monday,d 689,,2012,12
2012-12-18,Tuesday,d 690,,2012,12
2012-12-19,Wednesday,d 691,,2012,12
2012-12-20,Thursday,d 692,,2012,12
2012-12-21,Friday,d 693,,2012,12
2012-12-22,Saturday,d 694,,2012,12
2012-12-23,Sunday,d 695,,2012,12
2012-12-24,Monday,d 696,,2012,12
2012-12-25,Tuesday,d 697,Christmas,2012,12
2012-12-26,Wednesday,d 698,,2012,12
2012-12-27,Thursday,d 699,,2012,12
2012-12-28,Friday,d 700,,2012,12
2012-12-29,Saturday,d 701,,2012,12
2012-12-30,Sunday,d 702,,2012,12
2012-12-31,Monday,d 703,,2012,12
2013-01-01,Tuesday,d 704,NewYear,2013,1
2013-01-02,Wednesday,d 705,,2013,1
2013-01-03,Thursday,d 706,,2013,1
2013-01-04,Friday,d 707,,2013,1
2013-01-05,Saturday,d 708,,2013,1
2013-01-06,Sunday,d 709,,2013,1
2013-01-07,Monday,d 710,,2013,1
2013-01-08,Tuesday,d 711,,2013,1
2013-01-09,Wednesday,d 712,,2013,1
2013-01-10,Thursday,d 713,,2013,1
2013-01-11,Friday,d 714,,2013,1
2013-01-12,Saturday,d 715,,2013,1
2013-01-13,Sunday,d 716,,2013,1
2013-01-14,Monday,d 717,,2013,1
2013-01-15,Tuesday,d 718,,2013,1
2013-01-16,Wednesday,d 719,,2013,1
2013-01-17,Thursday,d 720,,2013,1
2013-01-18,Friday,d 721,,2013,1
2013-01-19,Saturday,d 722,,2013,1
2013-01-20,Sunday,d 723,,2013,1
2013-01-21,Monday,d 724,,2013,1
2013-01-22,Tuesday,d 725,,2013,1
2013-01-23,Wednesday,d 726,,2013,1
2013-01-24,Thursday,d 727,,2013,1
2013-01-25,Friday,d 728,,2013,1
2013-01-26,Saturday,d 729,,2013,1
2013-01-27,Sunday,d 730,,2013,1
2013-01-28,Monday,d 731,,2013,1
2013-01-29,Tuesday,d 732,,2013,1
2013-01-30,Wednesday,d 733,,2013,1
2013-01-31,Thursday,d 734,,2013,1
2013-02-01,Friday,d 735,,2013,2
2013-02-02,Saturday,d 736,,2013,2
2013-02-03,Sunday,d 737,SuperBowl,2013,2
2013-02-04,Monday,d 738,,2013,2
2013-02-05,Tuesday,d 739,,2013,2
2013-02-06,Wednesday,d 740,,2013,2
2013-02-07,Thursday,d 741,,2013,2
2013-02-08,Friday,d 742,,2013,2
2013-02-09,Saturday,d 743,,2013,2
2013-02-10,Sunday,d 744,,2013,2
2013-02-11,Monday,d 745,,2013,2
2013-02-12,Tuesday,d 746,,2013,2
2013-02-13,Wednesday,d 747,,2013,2
2013-02-14,Thursday,d 748,,2013,2
2013-02-15,Friday,d 749,,2013,2
2013-02-16,Saturday,d 750,,2013,2
2013-02-17,Sunday,d 751,,2013,2
2013-02-18,Monday,d 752,,2013,2
2013-02-19,Tuesday,d 753,,2013,2
2013-02-20,Wednesday,d 754,,2013,2
2013-02-21,Thursday,d 755,,2013,2
2013-02-22,Friday,d 756,,2013,2
2013-02-23,Saturday,d 757,,2013,2
2013-02-24,Sunday,d 758,,2013,2
2013-02-25,Monday,d 759,,2013,2
2013-02-26,Tuesday,d 760,,2013,2
2013-02-27,Wednesday,d 761,,2013,2
2013-02-28,Thursday,d 762,,2013,2
2013-03-01,Friday,d 763,,2013,3
2013-03-02,Saturday,d 764,,2013,3
2013-03-03,Sunday,d 765,,2013,3
2013-03-04,Monday,d 766,,2013,3
2013-03-05,Tuesday,d 767,,2013,3
2013-03-06,Wednesday,d 768,,2013,3
2013-03-07,Thursday,d 769,,2013,3
2013-03-08,Friday,d 770,,2013,3
2013-03-09,Saturday,d 771,,2013,3
2013-03-10,Sunday,d 772,,2013,3
2013-03-11,Monday,d 773,,2013,3
2013-03-12,Tuesday,d 774,,2013,3
2013-03-13,Wednesday,d 775,,2013,3
2013-03-14,Thursday,d 776,,2013,3
2013-03-15,Friday,d 777,,2013,3
2013-03-16,Saturday,d 778,,2013,3
2013-03-17,Sunday,d 779,,2013,3
2013-03-18,Monday,d 780,,2013,3
2013-03-19,Tuesday,d 781,,2013,3
2013-03-20,Wednesday,d 782,,2013,3
2013-03-21,Thursday,d 783,,2013,3
2013-03-22,Friday,d 784,,2013,3
2013-03-23,Saturday,d 785,,2013,3
2013-03-24,Sunday,d 786,,2013,3
2013-03-25,Monday,d 787,,2013,3
2013-03-26,Tuesday,d 788,,2013,3
2013-03-27,Wednesday,d 789,,2013,3
2013-03-28,Thursday,d 790,,2013,3
2013-03-29,Friday,d 791,,2013,3
2013-03-30,Saturday,d 792,,2013,3
2013-03-31,Sunday,d 793,Easter,2013,3
2013-04-01,Monday,d 794,,2013,4
2013-04-02,Tuesday,d 795,,2013,4
2013-04-03,Wednesday,d 796,,2013,4
2013-04-04,Thursday,d 797,,2013,4
2013-04-05,Friday,d 798,,2013,4
2013-04-06,Saturday,d 799,,2013,4
2013-04-07,Sunday,d 800,,2013,4
2013-04-08,Monday,d 801,,2013,4
2013-04-09,Tuesday,d 802,,2013,4
2013-04-10,Wednesday,d 803,,2013,4
2013-04-11,Thursday,d 804,,2013,4
2013-04-12,Friday,d 805,,2013,4
2013-04-13,Saturday,d 806,,2013,4
2013-04-14,Sunday,d 807,,2013,4
2013-04-15,Monday,d 808,,2013,4
2013-04-16,Tuesday,d 809,,2013,4
2013-04-17,Wednesday,d 810,,2013,4
2013-04-18,Thursday,d 811,,2013,4
2013-04-19,Friday,d 812,,2013,4
2013-04-20,Saturday,d 813,,2013,4
2013-04-21,Sunday,d 814,,2013,4
2013-04-22,Monday,d 815,,2013,4
2013-04-23,Tuesday,d 816,,2013,4
2013-04-24,Wednesday,d 817,,2013,4
2013-04-25,Thursday,d 818,,2013,4
2013-04-26,Friday,d 819,,2013,4
2013-04-27,Saturday,d 820,,2013,4
2013-04-28,Sunday,d 821,,2013,4
2013-04-29,Monday,d 822,,2013,4
2013-04-30,Tuesday,d 823,,2013,4
2013-05-01,Wednesday,d 824,,2013,5
2013-05-02,Thursday,d 825,,2013,5
2013-05-03,Friday,d 826,,2013,5
2013-05-04,Saturday,d 827,,2013,5
2013-05-05,Sunday,d 828,,2013,5
2013-05-06,Monday,d 829,,2013,5
2013-05-07,Tuesday,d 830,,2013,5
2013-05-08,Wednesday,d 831,,2013,5
2013-05-09,Thursday,d 832,,2013,5
2013-05-10,Friday,d 833,,2013,5
2013-05-11,Saturday,d 834,,2013,5
2013-05-12,Sunday,d 835,,2013,5
2013-05-13,Monday,d 836,,2013,5
2013-05-14,Tuesday,d 837,,2013,5
2013-05-15,Wednesday,d 838,,2013,5
2013-05-16,Thursday,d 839,,2013,5
2013-05-17,Friday,d 840,,2013,5
2013-05-18,Saturday,d 841,,2013,5
2013-05-19,Sunday,d 842,,2013,5
2013-05-20,Monday,d 843,,2013,5
2013-05-21,Tuesday,d 844,,2013,5
2013-05-22,Wednesday,d 845,,2013,5
2013-05-23,Thursday,d 846,,2013,5
2013-05-24,Friday,d 847,,2013,5
2013-05-25,Saturday,d 848,,2013,5
2013-05-26,Sunday,d 849,,2013,5
2013-05-27,Monday,d 850,,2013,5
2013-05-28,Tuesday,d 851,,2013,5
2013-05-29,Wednesday,d 852,,2013,5
2013-05-30,Thursday,d 853,,2013,5
2013-05-31,Friday,d 854,,2013,5
2013-06-01,Saturday,d 855,,2013,6
2013-06-02,Sunday,d 856,,2013,6
2013-06-03,Monday,d 857,,2013,6
2013-06-04,Tuesday,d 858,,2013,6
2013-06-05,Wednesday,d 859,,2013,6
2013-06-06,Thursday,d 860,,2013,6
2013-06-07,Friday,d 861,,2013,6
2013-06-08,Saturday,d 862,,2013,6
2013-06-09,Sunday,d 863,,2013,6
2013-06-10,Monday,d 864,,2013,6
2013-06-11,Tuesday,d 865,,2013,6
2013-06-12,Wednesday,d 866,,2013,6
2013-06-13,Thursday,d 867,,2013,6
2013-06-14,Friday,d 868,,2013,6
2013-06-15,Saturday,d 869,,2013,6
2013-06-16,Sunday,d 870,,2013,6
2013-06-17,Monday,d 871,,2013,6
2013-06-18,Tuesday,d 872,,2013,6
2013-06-19,Wednesday,d 873,,2013,6
2013-06-20,Thursday,d 874,,2013,6
2013-06-21,Friday,d 875,,2013,6
2013-06-22,Saturday,d 876,,2013,6
2013-06-23,Sunday,d 877,,2013,6
2013-06-24,Monday,d 878,,2013,6
2013-06-25,Tuesday,d 879,,2013,6
2013-06-26,Wednesday,d 880,,2013,6
2013-06-27,Thursday,d 881,,2013,6
2013-06-28,Friday,d 882,,2013,6
2013-06-29,Saturday,d 883,,2013,6
2013-06-30,Sunday,d 884,,2013,6
2013-07-01,Monday,d 885,,2013,7
2013-07-02,Tuesday,d 886,,2013,7
2013-07-03,Wednesday,d 887,,2013,7
2013-07-04,Thursday,d 888,,2013,7
2013-07-05,Friday,d 889,,2013,7
2013-07-06,Saturday,d 890,,2013,7
2013-07-07,Sunday,d 891,,2013,7
2013-07-08,Monday,d 892,,2013,7
2013-07-09,Tuesday,d 893,Ramadan starts,2013,7
2013-07-10,Wednesday,d 894,,2013,7
2013-07-11,Thursday,d 895,,2013,7
2013-07-12,Friday,d 896,,2013,7
2013-07-13,Saturday,d 897,,2013,7
2013-07-14,Sunday,d 898,,2013,7
2013-07-15,Monday,d 899,,2013,7
2013-07-16,Tuesday,d 900,,2013,7
2013-07-17,Wednesday,d 901,,2013,7
2013-07-18,Thursday,d 902,,2013,7
2013-07-19,Friday,d 903,,2013,7
2013-07-20,Saturday,d 904,,2013,7
2013-07-21,Sunday,d 905,,2013,7
2013-07-22,Monday,d 906,,2013,7
2013-07-23,Tuesday,d 907,,2013,7
2013-07-24,Wednesday,d 908,,2013,7
2013-07-25,Thursday,d 909,,2013,7
2013-07-26,Friday,d 910,,2013,7
2013-07-27,Saturday,d 911,,2013,7
2013-07-28,Sunday,d 912,,2013,7
2013-07-29,Monday,d 913,,2013,7
2013-07-30,Tuesday,d 914,,2013,7
2013-07-31,Wednesday,d 915,,2013,7
2013-08-01,Thursday,d 916,,2013,8
2013-08-02,Friday,d 917,,2013,8
2013-08-03,Saturday,d 918,,2013,8
2013-08-04,Sunday,d 919,,2013,8
2013-08-05,Monday,d 920,,2013,8
2013-08-06,Tuesday,d 921,,2013,8
2013-08-07,Wednesday,d 922,,2013,8
2013-08-08,Thursday,d 923,,2013,8
2013-08-09,Friday,d 924,,2013,8
2013-08-10,Saturday,d 925,,2013,8
2013-08-11,Sunday,d 926,,2013,8
2013-08-12,Monday,d 927,,2013,8
2013-08-13,Tuesday,d 928,,2013,8
2013-08-14,Wednesday,d 929,,2013,8
2013-08-15,Thursday,d 930,,2013,8
2013-08-16,Friday,d 931,,2013,8
2013-08-17,Saturday,d 932,,2013,8
2013-08-18,Sunday,d 933,,2013,8
2013-08-19,Monday,d 934,,2013,8
2013-08-20,Tuesday,d 935,,2013,8
2013-08-21,Wednesday,d 936,,2013,8
2013-08-22,Thursday,d 937,,2013,8
2013-08-23,Friday,d 938,,2013,8
2013-08-24,Saturday,d 939,,2013,8
2013-08-25,Sunday,d 940,,2013,8
2013-08-26,Monday,d 941,,2013,8
2013-08-27,Tuesday,d 942,,2013,8
2013-08-28,Wednesday,d 943,,2013,8
2013-08-29,Thursday,d 944,,2013,8
2013-08-30,Friday,d 945,,2013,8
2013-08-31,Saturday,d 946,,2013,8
2013-09-01,Sunday,d 947,,2013,9
2013-09-02,Monday,d 948,,2013,9
2013-09-03,Tuesday,d 949,,2013,9
2013-09-04,Wednesday,d 950,,2013,9
2013-09-05,Thursday,d 951,,2013,9
2013-09-06,Friday,d 952,,2013,9
2013-09-07,Saturday,d 953,,2013,9
2013-09-08,Sunday,d 954,,2013,9
2013-09-09,Monday,d 955,,2013,9
2013-09-10,Tuesday,d 956,,2013,9
2013-09-11,Wednesday,d 957,,2013,9
2013-09-12,Thursday,d 958,,2013,9
2013-09-13,Friday,d 959,,2013,9
2013-09-14,Saturday,d 960,,2013,9
2013-09-15,Sunday,d 961,,2013,9
2013-09-16,Monday,d 962,,2013,9
2013-09-17,Tuesday,d 963,,2013,9
2013-09-18,Wednesday,d 964,,2013,9
2013-09-19,Thursday,d 965,,2013,9
2013-09-20,Friday,d 966,,2013,9
2013-09-21,Saturday,d 967,,2013,9
2013-09-22,Sunday,d 968,,2013,9
2013-09-23,Monday,d 969,,2013,9
2013-09-24,Tuesday,d 970,,2013,9
2013-09-25,Wednesday,d 971,,2013,9
2013-09-26,Thursday,d 972,,2013,9
2013-09-27,Friday,d 973,,2013,9
2013-09-28,Saturday,d 974,,2013,9
2013-09-29,Sunday,d 975,,2013,9
2013-09-30,Monday,d 976,,2013,9
2013-10-01,Tuesday,d 977,,2013,10
2013-10-02,Wednesday,d 978,,2013,10
2013-10-03,Thursday,d 979,,2013,10
2013-10-04,Friday,d 980,,2013,10
2013-10-05,Saturday,d 981,,2013,10
2013-10-06,Sunday,d 982,,2013,10
2013-10-07,Monday,d 983,,2013,10
2013-10-08,Tuesday,d 984,,2013,10
2013-10-09,Wednesday,d 985,,2013,10
2013-10-10,Thursday,d 986,,2013,10
2013-10-11,Friday,d 987,,2013,10
2013-10-12,Saturday,d 988,,2013,10
2013-10-13,Sunday,d 989,,2013,10
2013-10-14,Monday,d 990,,2013,10
2013-10-15,Tuesday,d 991,,2013,10
2013-10-16,Wednesday,d 992,,2013,10
2013-10-17,Thursday,d 993,,2013,10
2013-10-18,Friday,d 994,,2013,10
2013-10-19,Saturday,d 995,,2013,10
2013-10-20,Sunday,d 996,,2013,10
2013-10-21,Monday,d 997,,2013,10
2013-10-22,Tuesday,d 998,,2013,10
2013-10-23,Wednesday,d 999,,2013,10
2013-10-24,Thursday,d 1000,,2013,10
2013-10-25,Friday,d 1001,,2013,10
2013-10-26,Saturday,d 1002,,2013,10
2013-10-27,Sunday,d 1003,,2013,10
2013-10-28,Monday,d 1004,,2013,10
2013-10-29,Tuesday,d 1005,,2013,10
2013-10-30,Wednesday,d 1006,,2013,10
2013-10-31,Thursday,d 1007,,2013,10
2013-11-01,Friday,d 1008,,2013,11
2013-11-02,Saturday,d 1009,,2013,11
2013-11-03,Sunday,d 1010,,2013,11
2013-11-04,Monday,d 1011,,2013,11
2013-11-05,Tuesday,d 1012,,2013,11
2013-11-06,Wednesday,d 1013,,2013,11
2013-11-07,Thursday,d 1014,,2013,11
2013-11-08,Friday,d 1015,,2013,11
2013-11-09,Saturday,d 1016,,2013,11
2013-11-10,Sunday,d 1017,,2013,11
2013-11-11,Monday,d 1018,,2013,11
2013-11-12,Tuesday,d 1019,,2013,11
2013-11-13,Wednesday,d 1020,,2013,11
2013-11-14,Thursday,d 1021,,2013,11
2013-11-15,Friday,d 1022,,2013,11
2013-11-16,Saturday,d 1023,,2013,11
2013-11-17,Sunday,d 1024,,2013,11
2013-11-18,Monday,d 1025,,2013,11
2013-11-19,Tuesday,d 1026,,2013,11
2013-11-20,Wednesday,d 1027,,2013,11
2013-11-21,Thursday,d 1028,,2013,11
2013-11-22,Friday,d 1029,,2013,11
2013-11-23,Saturday,d 1030,,2013,11
2013-11-24,Sunday,d 1031,,2013,11
2013-11-25,Monday,d 1032,,2013,11
2013-11-26,Tuesday,d 1033,,2013,11
2013-11-27,Wednesday,d 1034,,2013,11
2013-11-28,Thursday,d 1035,Thanksgiving,2013,11
2013-11-29,Friday,d 1036,,2013,11
2013-11-30,Saturday,d 1037,,2013,11
2013-12-01,Sunday,d 1038,,2013,12
2013-12-02,Monday,d 1039,,2013,12
2013-12-03,Tuesday,d 1040,,2013,12
2013-12-04,Wednesday,d 1041,,2013,12
2013-12-05,Thursday,d 1042,,2013,12
2013-12-06,Friday,d 1043,,2013,12
2013-12-07,Saturday,d 1044,,2013,12
2013-12-08,Sunday,d 1045,,2013,12
2013-12-09,Monday,d 1046,,2013,12
2013-12-10,Tuesday,d 1047,,2013,12
2013-12-11,Wednesday,d 1048,,2013,12
2013-12-12,Thursday,d 1049,,2013,12
2013-12-13,Friday,d 1050,,2013,12
2013-12-14,Saturday,d 1051,,2013,12
2013-12-15,Sunday,d 1052,,2013,12
2013-12-16,Monday,d 1053,,2013,12
2013-12-17,Tuesday,d 1054,,2013,12
2013-12-18,Wednesday,d 1055,,2013,12
2013-12-19,Thursday,d 1056,,2013,12
2013-12-20,Friday,d 1057,,2013,12
2013-12-21,Saturday,d 1058,,2013,12
2013-12-22,Sunday,d 1059,,2013,12
2013-12-23,Monday,d 1060,,2013,12
2013-12-24,Tuesday,d 1061,,2013,12
2013-12-25,Wednesday,d 1062,Christmas,2013,12
2013-12-26,Thursday,d 1063,,2013,12
2013-12-27,Friday,d 1064,,2013,12
2013-12-28,Saturday,d 1065,,2013,12
2013-12-29,Sunday,d 1066,,2013,12
2013-12-30,Monday,d 1067,,2013,12
2013-12-31,Tuesday,d 1068,,2013,12
2014-01-01,Wednesday,d 1069,NewYear,2014,1
2014-01-02,Thursday,d 1070,,2014,1
2014-01-03,Friday,d 1071,,2014,1
2014-01-04,Saturday,d 1072,,2014,1
2014-01-05,Sunday,d 1073,,2014,1
2014-01-06,Monday,d 1074,,2014,1
2014-01-07,Tuesday,d 1075,,2014,1
2014-01-08,Wednesday,d 1076,,2014,1
2014-01-09,Thursday,d 1077,,2014,1
2014-01-10,Friday,d 1078,,2014,1
2014-01-11,Saturday,d 1079,,2014,1
2014-01-12,Sunday,d 1080,,2014,1
2014-01-13,Monday,d 1081,,2014,1
2014-01-14,Tuesday,d 1082,,2014,1
2014-01-15,Wednesday,d 1083,,2014,1
2014-01-16,Thursday,d 1084,,2014,1
2014-01-17,Friday,d 1085,,2014,1
2014-01-18,Saturday,d 1086,,2014,1
2014-01-19,Sunday,d 1087,,2014,1
2014-01-20,Monday,d 1088,,2014,1
2014-01-21,Tuesday,d 1089,,2014,1
2014-01-22,Wednesday,d 1090,,2014,1
2014-01-23,Thursday,d 1091,,2014,1
2014-01-24,Friday,d 1092,,2014,1
2014-01-25,Saturday,d 1093,,2014,1
2014-01-26,Sunday,d 1094,,2014,1
2014-01-27,Monday,d 1095,,2014,1
2014-01-28,Tuesday,d 1096,,2014,1
2014-01-29,Wednesday,d 1097,,2014,1
2014-01-30,Thursday,d 1098,,2014,1
2014-01-31,Friday,d 1099,,2014,1
2014-02-01,Saturday,d 1100,,2014,2
2014-02-02,Sunday,d 1101,SuperBowl,2014,2
2014-02-03,Monday,d 1102,,2014,2
2014-02-04,Tuesday,d 1103,,2014,2
2014-02-05,Wednesday,d 1104,,2014,2
2014-02-06,Thursday,d 1105,,2014,2
2014-02-07,Friday,d 1106,,2014,2
2014-02-08,Saturday,d 1107,,2014,2
2014-02-09,Sunday,d 1108,,2014,2
2014-02-10,Monday,d 1109,,2014,2
2014-02-11,Tuesday,d 1110,,2014,2
2014-02-12,Wednesday,d 1111,,2014,2
2014-02-13,Thursday,d 1112,,2014,2
2014-02-14,Friday,d 1113,,2014,2
2014-02-15,Saturday,d 1114,,2014,2
2014-02-16,Sunday,d 1115,,2014,2
2014-02-17,Monday,d 1116,,2014,2
2014-02-18,Tuesday,d 1117,,2014,2
2014-02-19,Wednesday,d 1118,,2014,2
2014-02-20,Thursday,d 1119,,2014,2
2014-02-21,Friday,d 1120,,2014,2
2014-02-22,Saturday,d 1121,,2014,2
2014-02-23,Sunday,d 1122,,2014,2
2014-02-24,Monday,d 1123,,2014,2
2014-02-25,Tuesday,d 1124,,2014,2
2014-02-26,Wednesday,d 1125,,2014,2
2014-02-27,Thursday,d 1126,,2014,2
2014-02-28,Friday,d 1127,,2014,2
2014-03-01,Saturday,d 1128,,2014,3
2014-03-02,Sunday,d 1129,,2014,3
2014-03-03,Monday,d 1130,,2014,3
2014-03-04,Tuesday,d 1131,,2014,3
2014-03-05,Wednesday,d 1132,,2014,3
2014-03-06,Thursday,d 1133,,2014,3
2014-03-07,Friday,d 1134,,2014,3
2014-03-08,Saturday,d 1135,,2014,3
2014-03-09,Sunday,d 1136,,2014,3
2014-03-10,Monday,d 1137,,2014,3
2014-03-11,Tuesday,d 1138,,2014,3
2014-03-12,Wednesday,d 1139,,2014,3
2014-03-13,Thursday,d 1140,,2014,3
2014-03-14,Friday,d 1141,,2014,3
2014-03-15,Saturday,d 1142,,2014,3
2014-03-16,Sunday,d 1143,,2014,3
2014-03-17,Monday,d 1144,,2014,3
2014-03-18,Tuesday,d 1145,,2014,3
2014-03-19,Wednesday,d 1146,,2014,3
2014-03-20,Thursday,d 1147,,2014,3
2014-03-21,Friday,d 1148,,2014,3
2014-03-22,Saturday,d 1149,,2014,3
2014-03-23,Sunday,d 1150,,2014,3
2014-03-24,Monday,d 1151,,2014,3
2014-03-25,Tuesday,d 1152,,2014,3
2014-03-26,Wednesday,d 1153,,2014,3
2014-03-27,Thursday,d 1154,,2014,3
2014-03-28,Friday,d 1155,,2014,3
2014-03-29,Saturday,d 1156,,2014,3
2014-03-30,Sunday,d 1157,,2014,3
2014-03-31,Monday,d 1158,,2014,3
2014-04-01,Tuesday,d 1159,,2014,4
2014-04-02,Wednesday,d 1160,,2014,4
2014-04-03,Thursday,d 1161,,2014,4
2014-04-04,Friday,d 1162,,2014,4
2014-04-05,Saturday,d 1163,,2014,4
2014-04-06,Sunday,d 1164,,2014,4
2014-04-07,Monday,d 1165,,2014,4
2014-04-08,Tuesday,d 1166,,2014,4
2014-04-09,Wednesday,d 1167,,2014,4
2014-04-10,Thursday,d 1168,,2014,4
2014-04-11,Friday,d 1169,,2014,4
2014-04-12,Saturday,d 1170,,2014,4
2014-04-13,Sunday,d 1171,,2014,4
2014-04-14,Monday,d 1172,,2014,4
2014-04-15,Tuesday,d 1173,,2014,4
2014-04-16,Wednesday,d 1174,,2014,4
2014-04-17,Thursday,d 1175,,2014,4
2014-04-18,Friday,d 1176,,2014,4
2014-04-19,Saturday,d 1177,,2014,4
2014-04-20,Sunday,d 1178,Easter,2014,4
2014-04-21,Monday,d 1179,,2014,4
2014-04-22,Tuesday,d 1180,,2014,4
2014-04-23,Wednesday,d 1181,,2014,4
2014-04-24,Thursday,d 1182,,2014,4
2014-04-25,Friday,d 1183,,2014,4
2014-04-26,Saturday,d 1184,,2014,4
2014-04-27,Sunday,d 1185,,2014,4
2014-04-28,Monday,d 1186,,2014,4
2014-04-29,Tuesday,d 1187,,2014,4
2014-04-30,Wednesday,d 1188,,2014,4
2014-05-01,Thursday,d 1189,,2014,5
2014-05-02,Friday,d 1190,,2014,5
2014-05-03,Saturday,d 1191,,2014,5
2014-05-04,Sunday,d 1192,,2014,5
2014-05-05,Monday,d 1193,,2014,5
2014-05-06,Tuesday,d 1194,,2014,5
2014-05-07,Wednesday,d 1195,,2014,5
2014-05-08,Thursday,d 1196,,2014,5
2014-05-09,Friday,d 1197,,2014,5
2014-05-10,Saturday,d 1198,,2014,5
2014-05-11,Sunday,d 1199,,2014,5
2014-05-12,Monday,d 1200,,2014,5
2014-05-13,Tuesday,d 1201,,2014,5
2014-05-14,Wednesday,d 1202,,2014,5
2014-05-15,Thursday,d 1203,,2014,5
2014-05-16,Friday,d 1204,,2014,5
2014-05-17,Saturday,d 1205,,2014,5
2014-05-18,Sunday,d 1206,,2014,5
2014-05-19,Monday,d 1207,,2014,5
2014-05-20,Tuesday,d 1208,,2014,5
2014-05-21,Wednesday,d 1209,,2014,5
2014-05-22,Thursday,d 1210,,2014,5
2014-05-23,Friday,d 1211,,2014,5
2014-05-24,Saturday,d 1212,,2014,5
2014-05-25,Sunday,d 1213,,2014,5
2014-05-26,Monday,d 1214,,2014,5
2014-05-27,Tuesday,d 1215,,2014,5
2014-05-28,Wednesday,d 1216,,2014,5
2014-05-29,Thursday,d 1217,,2014,5
2014-05-30,Friday,d 1218,,2014,5
2014-05-31,Saturday,d 1219,,2014,5
2014-06-01,Sunday,d 1220,,2014,6
2014-06-02,Monday,d 1221,,2014,6
2014-06-03,Tuesday,d 1222,,2014,6
2014-06-04,Wednesday,d 1223,,2014,6
2014-06-05,Thursday,d 1224,,2014,6
2014-06-06,Friday,d 1225,,2014,6
2014-06-07,Saturday,d 1226,,2014,6
2014-06-08,Sunday,d 1227,,2014,6
2014-06-09,Monday,d 1228,,2014,6
2014-06-10,Tuesday,d 1229,,2014,6
2014-06-11,Wednesday,d 1230,,2014,6
2014-06-12,Thursday,d 1231,,2014,6
2014-06-13,Friday,d 1232,,2014,6
2014-06-14,Saturday,d 1233,,2014,6
2014-06-15,Sunday,d 1234,,2014,6
2014-06-16,Monday,d 1235,,2014,6
2014-06-17,Tuesday,d 1236,,2014,6
2014-06-18,Wednesday,d 1237,,2014,6
2014-06-19,Thursday,d 1238,,2014,6
2014-06-20,Friday,d 1239,,2014,6
2014-06-21,Saturday,d 1240,,2014,6
2014-06-22,Sunday,d 1241,,2014,6
2014-06-23,Monday,d 1242,,2014,6
2014-06-24,Tuesday,d 1243,,2014,6
2014-06-25,Wednesday,d 1244,,2014,6
2014-06-26,Thursday,d 1245,,2014,6
2014-06-27,Friday,d 1246,,2014,6
2014-06-28,Saturday,d 1247,,2014,6
2014-06-29,Sunday,d 1248,Ramadan starts,2014,6
2014-06-30,Monday,d 1249,,2014,6
2014-07-01,Tuesday,d 1250,,2014,7
2014-07-02,Wednesday,d 1251,,2014,7
